id,section,description,command
0MAC# OSX#,MAC# OSX#,Your public key location,~/.ssh/id_rsa.pub
1MAC# OSX#,MAC# OSX#,Switch between different windows of same application,Cmd + ~
2MAC# OSX#,MAC# OSX#,"Command-Shift-4, then select an area: Take a screenshot of an area and save it as a file on the desktop",mvim /etc/resolv.conf
3MAC# OSX#,MAC# OSX#,dscacheutil -flushcache,""
4MAC# OSX#,MAC# OSX#,Unix host file location -,cat /etc/hosts
5MAC# OSX#,MAC# OSX#,iTerm,Cmd + Shift + D
6MAC# OSX#,MAC# OSX#,Split Vertically,Cmd + D
7MAC# OSX#,MAC# OSX#,Navigate across Panes,Cmd + [ or Cmd + ]
8MAC# OSX#,MAC# OSX#,Full screen an app,Cmd + Enter
9MAC# OSX#,MAC# OSX#,Homebrew brew,brew info <name>
10MAC# OSX#,MAC# OSX#,switch to a different version,brew switch vim 7.4.488
11MAC# OSX#,MAC# OSX#,what formulas are available / search for old version,brew search postgresql
12Machine Learning#,Machine Learning#,Linear regression is good if you are trying to predict a continuous value,""
13Machine Learning#,Machine Learning#,Logistic regression is good if you are trying to predict a class (classification),"Logistic regression has a sigmoid function definition, this helps in classification"
14Machine Learning#,Machine Learning#,Like Gradient Descent there are more powerful algos called conjugate gradient and LBFGS,They usually don't require you to set a learning rate
15Machine Learning#,Machine Learning#,TF - Term Frequency - how often does a word appear in a document,IDF - Inverse Document Frequency - how rare is the word across documents
16JSON Tools#,JSON Tools#,Pretty Print JSON on the command line (or json-pretty or jsonp alias),"echo '{""a"" : ""b""}' | python -m json.tool"
17GPG#,GPG#,Sticky bit on directories,Another important enhancement involves the use of the sticky bit on directories. A directory with the sticky bit set means that only the file owner and the superuser may remove files from that directory.
18GPG#,GPG#,My public key for gpgp encryption,http://pgp.mit.edu/pks/lookup?op=get&search=0x4780F919F3B375A8
19GPG#,GPG#,gpg verify signature,*remember to add the public key of the publisher to the key ring (Good Signature = GOOD!!)
20GPG#,GPG#,gpg add public key to keyring,gpg --import public_key.asc
21GPG#,GPG#,gpg encrypt a file,gpg --output sparkle_pony.gpg --encrypt --recipient kevin.mahaffey@flexilis.com ~/sink/password.txt
22GPG#,GPG#,gpg public keys of people in the world,http://pgp.mit.edu/
23GPG#,GPG#,"zGPG encrypt file with passphrase- this will create filname.gpg, anyone can decrypt it as long as they know the passphrase (they dont need your public key)",gpg -c filename
24GPG#,GPG#,GPG Create a new key,gpg --gen-key
25GPG#,GPG#,GPG list keys,gpg --list-keys
26GPG#,GPG#,GPG Export public key,gpg --armor --export yash@lookout.com
27GPG#,GPG#,To encrypt a file - for stdout dont use --output,gpg --output doc.gpg --encrypt --recipient blake@cyb.org doc
28GPG#,GPG#,To decrypt a file - for stdout dont use --output doc,gpg --output doc --decrypt doc.gpg
29GPG#,GPG#,to create a key:,"prints out the public key for User Name to the command line, which is only semi-useful"
30GPG#,GPG#,to export a private key:,"It's pretty much like exporting a public key, but you have to override some default protections. There's a note (*) at the bottom explaining why you may want to do this."
31GPG#,GPG#,to import a public key:,"This adds the public key in the file ""public.key"" to your public key ring."
32GPG#,GPG#,to import a private key:,"This adds the private key in the file ""private.key"" to your private key ring. There's a note (*) at the bottom explaining why you may want to do this."
33GPG#,GPG#,to delete a public key (from your public key ring):,"NOTE! If there is a private key on your private key ring associated with this public key, you will get an error! You must delete your private key for this key pair from your private key ring first."
34GPG#,GPG#,to delete an private key (a key on your private key ring):,This deletes the secret key from your secret key ring.
35GPG#,GPG#,To list the keys in your public key ring:,gpg --list-keys
36GPG#,GPG#,To list the keys in your secret key ring:,gpg --list-secret-keys
37GPG#,GPG#,"To generate a short list of numbers that you can use via an alternative method to verify a public key, use:",This creates the file fingerprint with your fingerprint info.
38GPG#,GPG#,"To encrypt data, use:","An interesting side note, I encrypted the preemptive kernel patch, a file of 55,247 bytes, and ended up with an encrypted file of 15,276 bytes."
39GPG#,GPG#,"To decrypt data, use:","NOTE: when I originally wrote this cheat sheet, that's how it worked on my system, however it looks now like ""gpg -d mydata.tar.gpg"" dumps the file contents to standard output. The working alternative (worked on my system, anyway) would be to use ""gpg -o outputfile -d encryptedfile.gpg"", or using mydata.tar.gpg as an example, I'd run ""gpg -o mydata.tar -d mydata.tar.gpg"". Alternatively you could run something like ""gpg -d mydata.tar.gpg > mydata.tar"" and just push the output into a file. Seemed to work either way."
40GPG#,GPG#,"Ok, so what if you're a paranoid bastard and want to encrypt some of your own files, so nobody can break into your computer and get them? Simply encrypt them using yourself as the recipient.","--edit-key allows you do do an assortment of key tasks, see http://www.gnupg.org/gph/en/manual/r899.html"
41UNIX#,UNIX#,generate ssh keys,https://help.github.com/articles/generating-ssh-keys/
42UNIX#,UNIX#,Show calendar,cal 2015
43UNIX#,UNIX#,Geolocate an IP Address,curl ipinfo.io/<ipaddress>
44UNIX#,UNIX#,Compare/diff directories,diff --suppress-common-lines -y <(cd path_to_dir1; find .|sort) <(cd path_to_dir2; find .|sort)
45UNIX#,UNIX#,Case insensitive search in less,-i
46UNIX#,UNIX#,Less go to end of file and follow (like tail),Shift + F
47UNIX#,UNIX#,unix shell loops,"for i in {1..100} ; do echo ""dev.lsb.argle:857|c"" | nc -w 1 -u -v graphite0.dev.0.aws.mylookout.com 8125 ; done"
48UNIX#,UNIX#,Send a packet over udp using Netcat,"(echo ""GET / HTTP/1.0"" ; echo ""Host: example.com"" ; echo) | nc -w 1 -v example.com 80"
49UNIX#,UNIX#,Receive packets over udp/tcp on port 8125,nc -l -v 8125
50UNIX#,UNIX#,Ngrep,sudo ngrep -W byline -d en3 . udp port 8125 > /tmp/capture.txt
51UNIX#,UNIX#,GNU Screen copy mode,"Ctrl + A, ESC, Use Arrow Keys"
52UNIX#,UNIX#,Find the number of fields/number of columsn/ number of tabs in a line,cat /tmp/delme.txt |  egrep -o -E $'\t' | wc -l  == wc -l /tmp/delme.txt * cat /tmp/delme.txt | head -1 |  egrep -o -E $'\t' | wc -l
53UNIX#,UNIX#,Search and display only matched regular expression case insensitive,"cat /tmp/delme | egrep -io ""execute_count=\d+$"" | uniq"
54UNIX#,UNIX#,Find the number of columns for the entire file (should always return one value),"cat ~/Downloads/tmo_2013_10_valid.csv | sed 's/[^\|]//g' | awk '/./ {print NR, length }' | cut -d ' ' -f2 | uniq"
55UNIX#,UNIX#,Find the number of columns,"awk -F "","" '{print NF}' uniqMovie.csv | head -1"
56UNIX#,UNIX#,shell date with hours minutes and seconds,date +%Y_%m_%d_%H%M%S
57UNIX#,UNIX#,shell date diff,"date --date=""222 days ago"" +%Y%m%d"
58UNIX#,UNIX#,Install GNU Parallel,(wget -O - pi.dk/3 || curl pi.dk/3/) | bash
59UNIX#,UNIX#,GNU Parallel,"cat listofthings.txt | parallel --max-procs=8 --group 'echo ""Thing: {}""'"
60UNIX#,UNIX#,System Level Global Variable in Unix (like export var=xx but for all users): add to file,/etc/environment
61UNIX#,UNIX#,Create a passwordless sudo access for a user: in /etc/sudoers,yranadive         ALL = (ALL) NOPASSWD: ALL
62UNIX#,UNIX#,Create a passwordless ssh access to your machine:,file in ~/.ssh/
63UNIX#,UNIX#,Rsync copy files from local server to remote,rsync -avzhe ssh backup.tar --exclude='.git' root@192.168.0.100:/backups/
64UNIX#,UNIX#,Rsync copy files from remote server to local,rsync -avzhe ssh backup.tar --exclude='.git' root@192.168.0.100:/backups/
65UNIX#,UNIX#,List Ip Tables,sudo iptables -L
66UNIX#,UNIX#,Add someone to sudoers file,visudo
67UNIX#,UNIX#,Log of mail sent from a server using the mail command,tail -f /var/log/mail.log
68UNIX#,UNIX#,Generate random number,echo $RANDOM
69UNIX#,UNIX#,Get the last part of the file path,basename /home/yash/xman.h <.h - to get xman | empty otherwise>
70UNIX#,UNIX#,list details of file/folder (stuff you see in ls),stat /tmp
71UNIX#,UNIX#,tcpdump take dump of packets tcp,http://www.danielmiessler.com/study/tcpdump/
72UNIX#,UNIX#,Crontab Cron,*/x * * * * /path/to/script
73UNIX#,UNIX#,Power top,top - show list of processes - Press F to sort
74UNIX#,UNIX#,top Dump output of top to stdout once,top -b -n 1
75UNIX#,UNIX#,top Monitor certain pids,"top -p <pid1>, <pid2>"
76UNIX#,UNIX#,top monitor processes for a user,top -U username
77UNIX#,UNIX#,nmon - show list of processes,""
78UNIX#,UNIX#,Print all open file handles on a file,sudo lsof name/of/file
79UNIX#,UNIX#,Zsh unix search command history,"Ctrl + r , type the keyword and keep hitting Ctrl + r to go futher in the search"
80UNIX#,UNIX#,Shell script echo commands as your execute every line,#!/bin/bash -x
81UNIX#,UNIX#,Kill only pids containing a string,pkill -f <string>
82UNIX#,UNIX#,Shell script exit when one command in a script fails,#!/bin/bash -e
83UNIX#,UNIX#,Create file of size x bytes (binary),dd if=/dev/zero of=/path/to/desired/big/file count=1024
84UNIX#,UNIX#,Run last command with sudo,sudo !!
85UNIX#,UNIX#,Secure copy scp multiple files from a remote host,"scp your_username@remotehost.edu:~/foo_00{1..6} . # copies foo_001, foo_002, fo.., foo_006"
86UNIX#,UNIX#,Split a file in to multiple files,tar -cvf - <stuff to put in archive> | split --bytes=1m --suffix-length=4 --numeric-suffix - myarchive.tar.
87UNIX#,UNIX#,Merge the output of split - multiple files,cat arch/dw-master.tar.* | tar xvf -
88UNIX#,UNIX#,Amount of RAM on a box in gigabytes,free -mg
89UNIX#,UNIX#,paste the argument of the previous command,ESC + .
90UNIX#,UNIX#,Unix signals sighup sigint sigkill,"Ctrl-Z sends a TSTP signal (SIGTSTP); by default, this causes the process to suspend execution."
91UNIX#,UNIX#,SIGINT Ctrl-C,"Suspends a process. This too, can be handled, ignored or blocked. Since it does not terminate the process, the process can be resumed by sending a SIGCONT signal. This signal can be generated by pressing Ctrl+Z. (Sidenote: Ctrl+Z stands for substitute character which indicates End-of-File in DOS)"
92UNIX#,UNIX#,find,find . -path '.*/config.xml' | grep chunker_
93UNIX#,UNIX#,remove files older than 5 days on unix,find /my_current_directory -mtime +5 -type f -delete
94UNIX#,UNIX#,print files modified in the last 24 hours,find /directory_path -type f -mtime -1 -print
95UNIX#,UNIX#,monitor cpu memory and other shit,nmon
96UNIX#,UNIX#,Free resident set size (rss res) memory on a server,free -g
97UNIX#,UNIX#,unix linux ubuntu get stats on what the pid is doing,strace -p PID
98UNIX#,UNIX#,Count number of forks a application makes,sudo strace -o /tmp/strace.log -fFv  python -m SimpleHTTPServer 8283
99UNIX#,UNIX#,Sum numbers,numbers | awk '{s+=$0} END {print s}'
100UNIX#,UNIX#,awk print lines from line number x onwards,awk 'NR > x' name/of/file
101UNIX#,UNIX#,print limit of open file handles,ulimit -a
102UNIX#,UNIX#,dpkg -l list all packages ubuntu,""
103UNIX#,UNIX#,which user are you logged in as,whoami
104UNIX#,UNIX#,what users are logged in the box,who
105UNIX#,UNIX#,List open ssh connections to a server,Try netstat -atn | grep ':22'
106UNIX#,UNIX#,ssh usually happens on port 22,""
107UNIX#,UNIX#,Get all host names of a particular server,nslookup source.corp.lookout.com
108UNIX#,UNIX#,Create simple http server on a port,python -m SimpleHTTPServer 8000
109UNIX#,UNIX#,Set up ssh tunnel from localhost:8000 to remote:8888,ssh -N root@198.199.80.137 -L 8000:localhost:8888
110UNIX#,UNIX#,Syslog location,cat /var/log/syslog
111UNIX#,UNIX#,Get encoding of a file,file -i name_of_file
112UNIX#,UNIX#,ID of the user as recognized by the system,id root
113UNIX#,UNIX#,Get user and group of the user,id -Gn username
114UNIX#,UNIX#,List users that can ssh,cat /etc/ssh/sshd_config
115UNIX#,UNIX#,Mount a directory on remote,sudo mount ServerIP:/folder/already/setup/to/be/shared /loca/mount/point/directory
116UNIX#,UNIX#,To make a permanent mount add the following to /etc/fstab,"servername:dir /mntpoint nfs rw,hard,intr 0 0"
117UNIX#,UNIX#,List all mounted devices (< partition >< mount point >< file system >< mount options >< dump >< fsck order >),cat /etc/mtab
118UNIX#,UNIX#,List all mounted/unmounted devices,cat /etc/fstab
119UNIX#,UNIX#,Show devices that use this host,showmount -a
120UNIX#,UNIX#,NFS,"export, exportfs"
121UNIX#,UNIX#,check if a port is open on a remote server,nc -vz -w 2 database-box-1.internal.clever.com 27017
122UNIX#,UNIX#,Add sudo user,user ALL=(ALL) ALL
123UNIX#,UNIX#,list all the users in unix,cat /etc/passwd
124UNIX#,UNIX#,make sub directories when necessary,mkdir -p path/to/directory
125UNIX#,UNIX#,export a env variable,export PATH=$PATH:/opt/bin:/usr/local/bin:$HOME/bin
126UNIX#,UNIX#,show environment variables,env
127UNIX#,UNIX#,Export a environment variable to all user,modify /etc/profile
128UNIX#,UNIX#,Print name of shell you are using,echo $0
129UNIX#,UNIX#,Get the current pid of the session,$$
130UNIX#,UNIX#,GZIP TAR - compress a directory,tar -zcvf dest_file.tar.gz /folder/to/compress
131UNIX#,UNIX#,To restore file,tar -zxvf dest_file.tar.gz [file/path/to/decompress]
132UNIX#,UNIX#,Generate a random password 16 characters,pwgen 16
133UNIX#,UNIX#,Generate a random string in ruby of length password generate password,"(0...8).map{ [('a'..'z').to_a,('A'..'Z').to_a,(0..9).to_a].flatten[rand(62)] }.join"
134UNIX#,UNIX#,Create symlink symbolic link,ln -s {/path/to/file-name} {link-name}
135UNIX#,UNIX#,List all open ports,netstat -lnptu
136UNIX#,UNIX#,Set unix path environment variable,export GRADLE_HOME=/Users/yasha/Software/gradle-1.1
137UNIX#,UNIX#,Create User / password,passwd tom
138UNIX#,UNIX#,Add existing user to a group,usermod -G grpname uname
139UNIX#,UNIX#,in ~/.bashrc,alias ls='ls -lartSh'
140UNIX#,UNIX#,Find the unix linux distro operating system,lsb_release -a
141UNIX#,UNIX#,Find the if 64 or 32 bit,uname -a
142UNIX#,UNIX#,Find the,cat /etc/group
143UNIX#,UNIX#,Change owner and group recursive,chown -R yash:datateam Talend/
144UNIX#,UNIX#,Change Permission Recursive,"chmod -R 775 Talend where 775 is (user, group, other)"
145UNIX#,UNIX#,Show the Proceslist,"ps -ef | grep -i ""yash"""
146Grep#,Grep#,grep -e pattern(the regexp pattern),grep -o pattern (display the matching pattern only and NOT the entire line)
147Grep#,Grep#,Octal Dump,cat file | od -cb
148Grep#,Grep#,FTP,ftp ftp://username:password@ftp.host.com
149Grep#,Grep#,Get IP Address of the current system,/sbin/ifconfig | less
150Grep#,Grep#,Get IP address,ip -f inet a | awk '/inet / { print $2 }' or ifconfig | sed -n 's/.*inet addr:\([0-9.]\+\)\s.*/\1/p'
151Grep#,Grep#,UNIX COMMENT:,COMMENT
152Grep#,Grep#,Change Password,passwd
153Grep#,Grep#,the file encoding,file <nameoffile> or file -I <nameoffile>
154Grep#,Grep#,Find files,find -name 'ib_logfile0'
155Grep#,Grep#,Find in files text,"find . -exec grep ""www.athabasca"" '{}' \; -print"
156Grep#,Grep#,Find on all disks,find / -name file.extension
157Grep#,Grep#,Find files using regular expressions: ./chunker/lastSuccessful tree in .,"find -regex "".*chunker.*/lastSuccessful"" | xargs grep -r -i error"
158Grep#,Grep#,Inline calculator in shell,"echo ""2/3"" | bc"
159Grep#,Grep#,Linux Directory Structure,http://linuxcommand.org/lts0040.php#root
160Grep#,Grep#,Show the bottom of the log file and refresh,tail -f filename
161Grep#,Grep#,To get the nth line of a file,head -45 foo.txt | tail -1
162Grep#,Grep#,Convert DOS to UNIX dos2unix file csv,tr '\r' '\n' < delme.csv > samasource.csv
163Grep#,Grep#,Daemon services using init.d,sudo service name_of_serive start/stop/restart
164Grep#,Grep#,Daemon Services in Ubuntu,sudo stop name_of_service
165Grep#,Grep#,upstart list all services,initctl list
166Grep#,Grep#,Send mail when command finishes:  2,find and replace in Mac OSX: sed -i '' 's/source/target/g' nameoffile
167Nginx#,Nginx#,default conf file location,vim /usr/local/etc/nginx/nginx.conf
168Nginx#,Nginx#,start server,nginx
169Nginx#,Nginx#,stop server,nginx -s stop
170Nginx#,Nginx#,reload config,nginx -s reload
171Mysql#,Mysql#,select in to outfile /  write to file,select * into outfile '/tmp/result.txt' from table;
172Mysql#,Mysql#,show running queries,show full processlist;
173Mysql#,Mysql#,show status of the innodb engine with individual threads,show engine innodb status
174Mysql#,Mysql#,mysql data is stored in /data/mysql,""
175Mysql#,Mysql#,Mysql Backup Percona innobackupex xtrabackup,innobackupex --user= --password= --parallel=20 --no-lock /mnt/das0/backup_20131003/
176Mysql#,Mysql#,Mysql get the bin log,mysqlbinlog --base64-output=DECODE-ROWS --verbose <xxx-bin.xxxxx>  > /tmp/binlog.txt
177Mysql#,Mysql#,Mysql admin,CREATE USER 'jeffrey'@'localhost' IDENTIFIED BY 'mypass';
178Mysql#,Mysql#,Mysql skip a transaction,SET GLOBAL SQL_SLAVE_SKIP_COUNTER = 1;
179Mysql#,Mysql#,Create mysql super user,GRANT ALL PRIVILEGES ON *.* TO 'myuser'@'%' WITH GRANT OPTION;
180Mysql#,Mysql#,Grant particular privilege to a user,GRANT SELECT ON flexd_production.users TO 'support'@'%';
181Mysql#,Mysql#,Show grant privileges on a user,show grants for username
182Mysql#,Mysql#,Get list of mysql users,select * from mysql.user;
183Mysql#,Mysql#,Restart mysql server : sudo /etc/init.d/mysqld restart,""
184Mysql#,Mysql#,Mysql Flush Permissions Privileges,flush privileges;
185Mysql#,Mysql#,Query to get the largest tables on the database,LIMIT  100;
186Mysql#,Mysql#,Create table with key inline,....
187Mysql#,Mysql#,mysql create user,CREATE USER 'admin'@'localhost' IDENTIFIED BY 'password';
188Mysql#,Mysql#,mysql grant super user privileges,GRANT ALL PRIVILEGES on *.* with GRANT OPTION;
189Mysql#,Mysql#,mysql reset user password,SET PASSWORD FOR 'jeremy_linden'@'%' = PASSWORD('cleartext password');
190Mysql#,Mysql#,db-data: ETL|aw|mp|ip|mysql|royalty - local backups on shared drive (/cifs/db-fs1/db-databak),mysql|ETL|archieve|aw|data_pulls|ip|leads|mp|royalty - remote backups(/var/db_backup) on proactive
191Mysql#,Mysql#,Mysql copy table from one schema to other without locking the source database - use --single-transaction,mysqldump -h database2 -uyash -ppassword c_prod ecp_duplicates_domains | mysql -h database -uroot -ppassword c_prod
192Mysql#,Mysql#,Mysql move table from one schema to other,RENAME TABLE old_db.table TO new_db.table;
193Mysql#,Mysql#,Mysql dump the functions and stored procedures only,mysqldump --routines --no-create-info --no-data --no-create-db --skip-opt <database> > outputfile.sql
