id,section,description,command
0UNIX#,UNIX#,Host file location,cat /etc/hosts
1UNIX#,UNIX#,cli skip one word backward,Alt + B
2UNIX#,UNIX#,cli skip one word forward,Alt + F
3UNIX#,UNIX#,cli delete to the end of line,Ctrl + K
4UNIX#,UNIX#,cli delete to the beginning of line,Ctrl + U
5UNIX#,UNIX#,cli delete till end of the word,Alt + D
6UNIX#,UNIX#,Set variable in shell script as output of command,var=`date +d`
7UNIX#,UNIX#,generate ssh keys,https://help.github.com/articles/generating-ssh-keys/
8UNIX#,UNIX#,Show calendar,cal 2015
9UNIX#,UNIX#,Geolocate an IP Address,curl ipinfo.io/<ipaddress>
10UNIX#,UNIX#,Compare/diff directories,diff --suppress-common-lines -y <(cd path_to_dir1; find .|sort) <(cd path_to_dir2; find .|sort)
11UNIX#,UNIX#,Case insensitive search in less,-i
12UNIX#,UNIX#,Less go to end of file and follow (like tail),Shift + F
13UNIX#,UNIX#,unix shell loops,"for i in {1..100} ; do echo ""dev.you.sometext:857|c"" | nc -w 1 -u -v graphite0.dev.0.aws.myorg.com 8125 ; done"
14UNIX#,UNIX#,Send a packet over udp using Netcat,"(echo ""GET / HTTP/1.0"" ; echo ""Host: example.com"" ; echo) | nc -w 1 -v example.com 80"
15UNIX#,UNIX#,Receive packets over udp/tcp on port 8125,nc -l -v 8125
16UNIX#,UNIX#,Listen for outgoing UDP packets on a local port,sudo ngrep -W byline -d en3 . udp port 8125 > /tmp/capture.txt
17UNIX#,UNIX#,GNU Screen copy mode,"Ctrl + A, ESC, Use Arrow Keys"
18UNIX#,UNIX#,Find the number of fields/number of columsn/ number of tabs in a line,cat /tmp/delme.txt |  egrep -o -E $'\t' | wc -l  == wc -l /tmp/delme.txt * cat /tmp/delme.txt | head -1 |  egrep -o -E $'\t' | wc -l
19UNIX#,UNIX#,Search and display only matched regular expression case insensitive,"cat /tmp/delme | egrep -io ""execute_count=\d+$"" | uniq"
20UNIX#,UNIX#,Find the number of columns for the entire file (should always return one value),"cat ~/Downloads/tmo_2013_10_valid.csv | sed 's/[^\|]//g' | awk '/./ {print NR, length }' | cut -d ' ' -f2 | uniq"
21UNIX#,UNIX#,Find the number of columns,"awk -F "","" '{print NF}' uniqMovie.csv | head -1"
22UNIX#,UNIX#,shell date with hours minutes and seconds,date +%Y_%m_%d_%H%M%S
23UNIX#,UNIX#,shell date diff,"date --date=""222 days ago"" +%Y%m%d"
